Engine type,Pollutant,Emission Standard,Vmin,Vmax,A,B,G,D,E,Z,H,R
4-stroke <250,NOx,Euro 3,10,100,0.000209255,-0.050079198,5.609387061,32.3941712,0.002176848,-0.549240446,39.07109592,0
4-stroke <250,NOx,Euro 4,10,100,0.000209255,-0.050079198,5.609387061,32.3941712,0.002176848,-0.549240446,39.07109592,0
4-stroke <250,NOx,Euro 5,10,100,0.000209255,-0.050079198,5.609387061,32.3941712,0.002176848,-0.549240446,39.07109592,0
4-stroke <250,HC,Conventional,10,130,0,0,200,0,0,0,1000,0
4-stroke <250,HC,Euro 1,10,130,0,0,200,0,0,0,1000,0.29
4-stroke <250,HC,Euro 2,10,130,0,0,200,0,0,0,1000,0.32
4-stroke <250,HC,Euro 3,10,130,0,0,200,0,0,0,1000,0.59
4-stroke <250,HC,Euro 4,10,130,0,0,200,0,0,0,1000,0.59
4-stroke <250,HC,Euro 5,10,130,0,0,200,0,0,0,1000,0.59
4-stroke <250,PM ,Conventional,10,110,0,0,0.02,0,0,0,1,0
4-stroke <250,PM,Euro 1,10,110,0,0,0.02,0,0,0,1,0
4-stroke <250,PM,Euro 2,10,110,0,0,0.005,0,0,0,1,0
4-stroke <250,PM,Euro 3,10,110,0,0,0.005,0,0,0,1,0
4-stroke <250,PM,Euro 4,10,110,0,0,0.005,0,0,0,1,0
4-stroke <250,PM,Euro 5,10,110,0,0,0.005,0,0,0,1,0
4-stroke <250,FC,Conventional,10,100,0.001095186,0.007746086,3.626448549,-16.42082922,-0.000542589,0.140895437,-0.307438792,0
4-stroke <250,FC,Euro 1,10,100,0.000958323,0.006835397,3.173984393,-14.39100853,-0.000578634,0.150142944,-0.329314717,0
4-stroke <250,FC,Euro 2,10,100,0.000875594,0.004957447,3.48663587,-16.98690217,-0.0005711,0.173075508,-0.474584416,0
4-stroke <250,FC,Euro 3,10,100,0.000875594,0.004957447,3.48663587,-16.98690217,-0.0005711,0.173075508,-0.474584416,0
4-stroke <250,FC,Euro 4,10,100,0.000875594,0.004957447,3.48663587,-16.98690217,-0.0005711,0.173075508,-0.474584416,0
4-stroke <250,FC,Euro 5,10,100,0.000875594,0.004957447,3.48663587,-16.98690217,-0.0005711,0.173075508,-0.474584416,0
4-stroke <250,VOC,Conventional,10,100,0.000424886,-0.044101888,2.654401052,-2.902828177,1.85E-05,0.019856812,0.378436713,0
4-stroke <250,VOC,Euro 1,10,100,0.000295727,-0.024578447,2.33467297,-4.164819128,-0.000114384,0.036638471,0.364073817,0
4-stroke <250,VOC,Euro 2,10,100,0.000455119,0.00314118,2.135689893,-9.649710528,-0.000349419,0.173142372,-0.327868763,0
4-stroke <250,VOC,Euro 3,10,100,0.000303399,0.001879136,1.311025494,-6.720551854,-0.000318042,0.17687592,-0.547571403,0
4-stroke <250,VOC,Euro 4,10,100,0.000303399,0.001879136,1.311025494,-6.720551854,-0.000318042,0.17687592,-0.547571403,0
4-stroke <250,VOC,Euro 5,10,100,0.000303399,0.001879136,1.311025494,-6.720551854,-0.000318042,0.17687592,-0.547571403,0
