5150133	0.47704	1080	50	0.485363926	0.305	0.97
5153487	0.24314	2100	60	0.485363926	0.305	0.97
8474550	0.06923	80	60	0.485363926	0.305	0.97
8512167	0.1731	80	60	0.485363926	0.305	0.97
8512191	0.37052	280	60	0.485363926	0.305	0.97
8564555 0.55465	80	60	0.485363926	0.305	0.97
10561240	3.49992	80	60	0.485363926	0.305	0.97
10561241	0.68928	80	60	0.485363926	0.305	0.97
10561261	0.39776	80	60	0.485363926	0.305	0.97
10561262	0.13678	80	60	0.485363926	0.305	0.97
10561263	0.06502	680	60	0.485363926	0.305	0.97
10561264	0.35932	3080	60	0.485363926	0.305	0.97
10561265	0.47019	80	60	0.485363926	0.305	0.97
10561267	0.31431	80	60	0.485363926	0.305	0.97
10561269	0.14899	80	60	0.485363926	0.305	0.97
10561279	0.21641	80	60	0.485363926	0.305	0.97
12335472	0.0917	810	40	0.485363926	0.305	0.97
12335480	0.12917	80	60	0.485363926	0.305	0.97
16369732	1.50798	80	60	0.485363926	0.305	0.97
23710999	0.95254	80	60	0.485363926	0.305	0.97
87805656	0.58629	380	60	0.485363926	0.305	0.97
87805658	0.20992	80	70	0.485363926	0.305	0.97
87805664	0.13207	60	60	0.485363926	0.305	0.97
87805666	0.31597	80	60	0.485363926	0.305	0.97
87807828	0.15647	80	60	0.485363926	0.305	0.97
87807830	0.20749	80	60	0.485363926	0.305	0.97
87807832	0.26594	70	60	0.485363926	0.305	0.97
87807833	0.29552	80	60	0.485363926	0.305	0.97
87807834	0.32844	80	60	0.485363926	0.305	0.97
87807835	0.27797	80	60	0.485363926	0.305	0.97
87807836	0.13182	80	60	0.485363926	0.305	0.97
87807837	0.30723	60	60	0.485363926	0.305	0.97
87807838	0.66997	80	60	0.485363926	0.305	0.97
87808307	0.5661	80	60	0.485363926	0.305	0.97
87808308	0.15888	80	60	0.485363926	0.305	0.97
87808310	0.23685	65	60	0.485363926	0.305	0.97
87808312	0.26172	80	60	0.485363926	0.305	0.97
